www.groupon.com	GET	200	text/html	Other	24.4 KB	2.30 s	
OpenSansLight-v2.woff2	GET	200	application/octet-stream	gig_application_layout-v5.0.8-5a55aac88f.js:38	19.9 KB	154 ms	
home-dotted-border-45bff4bb83.png	GET	200	image/png	gig_application_layout-v5.0.8-5a55aac88f.js:38	779 B	559 ms	
2014-12-25_holiday2014-e9580eac11.png	GET	200	image/png	gig_application_layout-v5.0.8-5a55aac88f.js:38	1.9 KB	655 ms	
2014-11-17_snowflakes.png	GET	200	image/png	gig_application_layout-v5.0.8-5a55aac88f.js:38	32.7 KB	638 ms	
widget?consumerId=319bfcf6-0e48-11e2-a781-0025906125b0	GET	200	application/json	gig_application_layout-v5.0.8-5a55aac88f.js:40	878 B	339 ms	
gtm.js?id=GTM-B76Z	GET	200	text/javascript	(index):140	40.0 KB	61 ms	
personalize_wizard-close_icon-036989d82a.png	GET	200	image/png	gig_application_layout-v5.0.8-5a55aac88f.js:39	2.3 KB	110 ms	
data:image/gif;base…	GET	(data)	image/gif	gig_application_layout-v5.0.8-5a55aac88f.js:12	(from cache)	0 ms	
tracky	POST	200	application/octet-stream	gig_application_layout-v5.0.8-5a55aac88f.js:40	650 B	465 ms	

